,Company,Max,Min,Movements,companies,labels
142,FFTG,16243,22655,-6412,FFTG,1
143,FFTI,13066,28255,-15189,FFTI,2
144,FGRO,19446,20820,-1374,FGRO,3
145,FIBR,18529,22658,-4129,FIBR,1
146,FJAN,8105,9002,-897,FJAN,3
147,FJUL,7213,18990,-11777,FJUL,1
148,FJUN,135,8556,-8421,FJUN,1
149,FLBL,17161,16705,456,FLBL,3
150,FLDR,25908,12168,13740,FLDR,0
151,FLHY,16252,15341,911,FLHY,3
152,FLIA,17164,22665,-5501,FLIA,1
153,FLOT,13529,3663,9866,FLOT,3
154,FLQL,18538,25912,-7374,FLQL,1
155,FLQM,18539,21749,-3210,FLQM,1
156,FLQS,24984,25449,-465,FLQS,3
157,FLV,18541,19000,-459,FLV,3
158,FMAG,16259,20834,-4575,FMAG,1
159,FMAR,24987,25917,-930,FMAR,3
160,FMAY,8117,8566,-449,FMAY,3
161,FMIL,24523,19462,5061,FMIL,3
162,FNOV,7226,15806,-8580,FNOV,1
163,FOCT,7227,15352,-8125,FOCT,1
164,FPRO,32122,25922,6200,FPRO,3
165,FRDM,8121,22677,-14556,FRDM,2
166,FSEP,7229,15810,-8581,FSEP,1
167,FSMO,16267,25460,-9193,FSMO,1
168,FUNL,7230,19010,-11780,FUNL,1
169,FUT,11733,3675,8058,FUT,3
170,FYLD,27801,25928,1873,FYLD,3
171,GAA,23604,1034,22570,GAA,0
172,GCOW,8127,1035,7092,GCOW,3
173,GHYG,156,24070,-23914,GHYG,2
174,GMOM,11285,15818,-4533,GMOM,1
175,GOAT,18558,19017,-459,GOAT,3
176,GOVT,16276,16731,-455,GOVT,3
177,GOVZ,25470,16732,8738,GOVZ,3
178,GSEE,18561,25936,-7375,GSEE,1
179,GSEW,16279,25937,-9658,GSEW,1
180,GSID,163,23613,-23450,GSID,2
181,GSST,4573,604,3969,GSST,3
182,GSUS,7244,19024,-11780,GSUS,1
183,GTIP,16283,16738,-455,GTIP,3
184,GVAL,16284,21317,-5033,GVAL,1
185,GVI,10842,28778,-17936,GVI,2
186,HCRB,18569,16741,1828,HCRB,3
187,HEEM,18570,25945,-7375,HEEM,1
188,HEFA,16288,34077,-17789,HEFA,2
189,HEGD,33594,16744,16850,HEGD,0
190,HELX,6806,1494,5312,HELX,3
191,HSRT,29264,19949,9315,HSRT,3
192,HYD,14927,1055,13872,HYD,0
193,HYDB,16293,22705,-6412,HYDB,1
194,HYHG,8149,24091,-15942,HYHG,2
195,HYMU,35532,35050,482,HYMU,3
196,HYXU,16295,22707,-6412,HYXU,1
197,IAGG,13118,16751,-3633,IAGG,1
198,IAUF,1942,10401,-8459,IAUF,1
199,IBHA,2823,15387,-12564,IBHA,1
200,IBHB,10403,13574,-3171,IBHB,1
201,IBHC,32640,4148,28492,IBHC,0
202,IBHD,19502,27362,-7860,IBHD,1
203,IBHE,185,19044,-18859,IBHE,2
204,IBHF,23175,1507,21668,IBHF,0
205,IBML,4596,627,3969,IBML,3
206,IBMM,14940,20421,-5481,IBMM,1
207,IBMN,13128,20422,-7294,IBMN,1
208,IBMO,14942,16762,-1820,IBMO,3
209,IBMP,14943,24571,-9628,IBMP,1
210,IBMQ,14944,6382,8562,IBMQ,3
211,ICF,193,25969,-25776,ICF,2
212,ICOW,24574,22723,1851,ICOW,3
213,ICSH,4160,3277,883,ICSH,3
214,ICVT,16313,7722,8591,ICVT,3
215,IDHD,14493,35552,-21059,IDHD,2
216,IDV,16770,34105,-17335,IDV,2
217,IECS,7278,25975,-18697,IECS,2
218,IEDI,16317,5052,11265,IEDI,0
219,IEFA,16318,34108,-17790,IEFA,2
220,IEFN,16319,25513,-9194,IEFN,1
221,IEHS,7282,1083,6199,IEHS,3
222,IEIH,18147,19063,-916,IEIH,3
223,IEME,25051,15411,9640,IEME,3
224,IEO,23195,646,22549,IEO,0
225,IETC,16324,15868,456,IETC,3
226,IFRA,208,1088,-880,IFRA,3
227,IGE,23198,649,22549,IGE,0
228,IGEB,16327,15871,456,IGEB,3
229,IGHG,14963,15872,-909,IGHG,3
230,IGLD,28342,21362,6980,IGLD,3
231,IGRO,16329,1092,15237,IGRO,0
232,IGV,18156,9082,9074,IGV,3
233,IMFL,33638,34122,-484,IMFL,3
234,IMLP,21826,12248,9578,IMLP,3
235,IMOM,33640,19992,13648,IMOM,0
236,INDA,16333,25994,-9661,INDA,1
237,IPFF,16790,1097,15693,IPFF,0
238,IQDG,16335,34127,-17792,IQDG,2
239,IQM,9536,20913,-11377,IQM,1
240,ISVL,34612,34129,483,ISVL,3
241,ITA,220,15881,-15661,ITA,2
242,ITB,16338,22752,-6414,ITB,1
243,ITM,14974,16795,-1821,ITM,3
244,IVAL,16340,34133,-17793,IVAL,2
245,IVDG,18168,1545,16623,IVDG,0
246,IVLC,7304,19086,-11782,IVLC,1
247,IVRA,19087,25539,-6452,IVRA,1
248,IVSG,19547,15433,4114,IVSG,3
249,IYJ,18630,1108,17522,IYJ,0
250,IYLD,16346,23682,-7336,IYLD,1
251,IYT,18632,19091,-459,IYT,3
252,IYZ,7757,6864,893,IYZ,3
253,IZRL,16349,34142,-17793,IZRL,2
254,JANZ,7312,27885,-20573,JANZ,2
255,JCPB,16351,15895,456,JCPB,3
256,JEMA,33661,28849,4812,JEMA,3
257,JMST,19096,6868,12228,JMST,0
258,JMUB,17265,28370,-11105,JMUB,1
259,JPHY,16354,17266,-912,JPHY,3
260,JPIB,29333,8659,20674,JPIB,0
261,JPST,1119,2881,-1762,JPST,3
262,JULZ,23232,17269,5963,JULZ,3
263,KAPR,29336,34152,-4816,KAPR,1
264,KJAN,5540,25556,-20016,KJAN,2
265,KJUL,20020,5095,14925,KJUL,0
266,KNG,20021,1124,18897,KNG,0
267,KNGS,16362,17274,-912,KNGS,3
268,KOCT,6436,686,5750,KOCT,3
269,KWT,20024,19108,916,KWT,3
270,LEAD,16365,24166,-7801,LEAD,1
271,LIV,2450,20026,-17576,LIV,2
272,LKOR,18652,15911,2741,LKOR,3
273,LQDI,14093,16824,-2731,LQDI,1
274,LSLT,18654,32232,-13578,LSLT,1
275,LUXE,25102,15914,9188,LUXE,3
276,LVHI,16827,6444,10383,LVHI,0
277,LYFE,16372,15461,911,LYFE,3
278,MAAX,15008,16829,-1821,MAAX,3
279,MAGA,15463,1137,14326,MAGA,0
280,MAMB,36100,31276,4824,MAMB,3
281,MARZ,24641,19119,5522,MARZ,3
282,MBBB,19579,15919,3660,MBBB,3
283,MBCC,34655,30316,4339,MBCC,3
284,MBND,14555,16832,-2277,MBND,3
285,MEAR,699,17289,-16590,MEAR,2
286,MFMS,16378,25576,-9198,MFMS,1
287,MIG,19583,22794,-3211,MIG,1
288,MINN,21876,32246,-10370,MINN,1
289,MLN,15015,15469,-454,MLN,3
290,MOAT,16381,1143,15238,MOAT,0
291,MOTI,20043,22798,-2755,MOTI,1
292,MPRO,34664,34181,483,MPRO,3
293,MRGR,19587,27924,-8337,MRGR,1
294,MRSK,4675,8238,-3563,MRSK,1
295,MSTB,12302,15929,-3627,MSTB,1
296,MSVX,16386,7347,9039,MSVX,3
297,MTUM,18215,1590,16625,MTUM,0
298,NAPR,33219,8691,24528,NAPR,0
299,NEAR,2033,2472,-439,NEAR,3
300,NJAN,7351,1593,5758,NJAN,3
301,NJUL,7352,5125,2227,NJUL,3
302,NOBL,273,1154,-881,NOBL,3
303,NOCT,7354,19138,-11784,NOCT,1
304,NUDM,16394,34193,-17799,NUDM,2
305,NUEM,17307,22811,-5504,NUEM,1
306,NULC,7357,15940,-8583,NULC,1
307,NULG,18224,1600,16624,NULG,0
308,NULV,16398,1160,15238,NULV,0
309,NUMG,18226,26063,-7837,NUMG,1
310,NUMV,16400,25599,-9199,NUMV,1
311,NURE,282,25600,-25318,NURE,2
312,NUSC,16402,25601,-9199,NUSC,1
313,NVMZ,19607,35168,-15561,NVMZ,2
314,OCTZ,18690,19149,-459,OCTZ,3
315,OEUR,6920,6477,443,OEUR,3
316,OGIG,25140,15495,9645,OGIG,3
317,OILK,23284,18693,4591,OILK,3
318,OMFL,16408,1170,15238,OMFL,0
319,OMFS,16409,1171,15238,OMFS,0
320,OSCV,16410,25609,-9199,OSCV,1
321,OUSA,292,19156,-18864,OUSA,2
322,OUSM,16412,25611,-9199,OUSM,1
323,PAPR,30356,7821,22535,PAPR,0
324,PAUG,7375,7822,-447,PAUG,3
325,PAVE,6930,1177,5753,PAVE,3
326,PAWZ,18243,12786,5457,PAWZ,3
327,PBDM,7825,13690,-5865,PBDM,1
328,PBEE,19622,19163,459,PBEE,3
329,PBND,16419,16875,-456,PBND,3
330,PBSM,25154,25619,-465,PBSM,3
331,PBTP,16421,16877,-456,PBTP,3
332,PBUS,303,19167,-18864,PBUS,2
333,PDEC,16423,20084,-3661,PDEC,1
334,PEX,16424,25623,-9199,PEX,1
335,PFEB,16425,34224,-17799,PFEB,2
336,PICK,16426,31812,-15386,PICK,2
337,PJAN,8281,17339,-9058,PJAN,1
338,PJUL,7389,8282,-893,PJUL,3
339,PJUN,7390,8732,-1342,PJUN,3
340,PMAR,18716,25629,-6913,PMAR,1
341,PMAY,7392,15066,-7674,PMAY,1
342,PNOV,7393,19177,-11784,PNOV,1
343,POCT,7394,19178,-11784,POCT,1
344,PRNT,11898,1637,10261,PRNT,0
345,PSCW,36165,35200,965,PSCW,3
346,PSCX,10992,15524,-4532,PSCX,1
347,PSEP,18722,1198,17524,PSEP,0
348,PSFD,16437,8740,7697,PSFD,3
349,PSFF,16438,15527,911,PSFF,3
350,PSFM,33271,29903,3368,PSFM,3
351,PSMB,320,26103,-25783,PSMB,2
352,PSMC,321,20559,-20238,PSMC,2
353,PSMD,7402,19186,-11784,PSMD,1
354,PSMG,31350,32312,-962,PSMG,3
355,PSMM,33276,1646,31630,PSMM,0
356,PSMR,35693,30389,5304,PSMR,3
357,PTEU,18730,1206,17524,PTEU,0
358,PTLC,16445,26109,-9664,PTLC,1
359,PTMC,16446,1208,15238,PTMC,0
360,PTNQ,16447,15536,911,PTNQ,3
361,PWS,16448,19193,-2745,PWS,1
362,QCON,16449,15538,911,QCON,3
363,QDEC,25184,20111,5073,QDEC,3
364,QLC,18737,19196,-459,QLC,3
365,QMAR,31361,26116,5245,QMAR,3
366,QMOM,25187,20113,5074,QMOM,3
367,QPFF,23330,19198,4132,QPFF,3
368,QTAP,31844,28480,3364,QTAP,3
369,QUAL,333,26119,-25786,QUAL,2
370,QVAL,16455,1215,15240,QVAL,0
371,RDFI,18742,8757,9985,RDFI,3
372,REC,16457,4302,12155,REC,0
373,REGL,8310,1218,7092,REGL,3
374,REM,16459,16003,456,REM,3
375,RESD,18746,34264,-15518,RESD,2
376,RESE,18747,15550,3197,RESE,3
377,RODE,341,1222,-881,RODE,3
378,RODI,34267,342,33925,RODI,0
379,ROMO,4752,16008,-11256,ROMO,1
380,RSX,18751,12832,5919,RSX,3
381,RSXJ,4754,32820,-28066,RSXJ,2
382,RTAI,35719,11476,24243,RTAI,0
383,RYLD,25203,25668,-465,RYLD,3
384,SECT,18755,16013,2742,SECT,3
385,SEPZ,16470,19215,-2745,SEPZ,1
386,SFHY,19675,14194,5481,SFHY,3
387,SFIG,19676,22888,-3212,SFIG,1
388,SHAG,16473,16928,-455,SHAG,3
389,SHYD,19219,8326,10893,SHYD,0
390,SLT,23352,34279,-10927,SLT,1
391,SLVP,2118,16020,-13902,SLVP,2
392,SMB,19222,3439,15783,SMB,0
393,SMDV,16478,1238,15240,SMDV,0
394,SMIN,16479,26144,-9665,SMIN,1
395,SMMD,16480,1240,15240,SMMD,0
396,SMMV,25216,1241,23975,SMMV,0
397,SPMV,14661,30430,-15769,SPMV,2
398,STLC,19687,31394,-11707,STLC,1
399,STLG,18311,15573,2738,STLG,3
400,STLV,364,805,-441,STLV,3
401,STMB,22442,22902,-460,STMB,3
402,STOT,17857,29475,-11618,STOT,1
403,STSB,16488,13759,2729,STSB,3
404,SULR,4334,25689,-21355,SULR,2
405,SVAL,24294,1250,23044,SVAL,0
406,SVXY,7450,34295,-26845,SVXY,2
407,SYLD,8344,25692,-17348,SYLD,2
408,TAEQ,16493,3455,13038,TAEQ,0
409,TAIL,1254,29002,-27748,TAIL,2
410,TBJL,25230,16950,8280,TBJL,3
411,TCTL,16496,28523,-12027,TCTL,1
412,TDV,18783,26162,-7379,TDV,1
413,TEGS,34785,16042,18743,TEGS,0
414,TFIV,24768,1259,23509,TFIV,0
415,TFJL,7013,6570,443,TFJL,3
416,TFLT,10603,34305,-23702,TFLT,2
417,THY,381,2583,-2202,THY,3
418,TILT,16503,1263,15240,TILT,0
419,TMAT,15139,34308,-19169,TMAT,2
420,TMDV,35757,1264,34493,TMDV,0
421,TMFC,18333,1706,16627,TMFC,0
422,TOKE,12422,11516,906,TOKE,3
423,TRTY,18794,1267,17527,TRTY,0
424,TSJA,387,19254,-18867,TSJA,2
425,TSOC,388,19255,-18867,TSOC,2
426,TTAC,16511,35280,-18769,TTAC,2
427,TTAI,7470,11067,-3597,TTAI,1
428,UAPR,24782,29981,-5199,UAPR,1
429,UAUG,24783,11069,13714,UAUG,0
430,UDEC,24784,15150,9634,UDEC,3
431,UFEB,24785,16060,8725,UFEB,3
432,UJAN,30946,9266,21680,UJAN,0
433,UJUL,396,28545,-28149,UJUL,2
434,UJUN,30948,21556,9392,UJUN,3
435,UMAR,29508,25720,3788,UMAR,3
436,UMAY,24790,5698,19092,UMAY,0
437,UNOV,28549,7926,20623,UNOV,0
438,UOCT,24792,20184,4608,UOCT,3
439,USEP,24793,7928,16865,USEP,0
440,USEQ,16525,19270,-2745,USEQ,1
441,USHY,16526,17438,-912,USHY,3
442,USMF,18813,19272,-459,USMF,3
443,USMV,406,1287,-881,USMV,3
444,UVXY,848,7487,-6639,UVXY,1
445,VAMO,19275,11085,8190,VAMO,3
446,VCEB,16531,16075,456,VCEB,3
447,VFLQ,18818,25731,-6913,VFLQ,1
448,VFMF,33853,25732,8121,VFMF,3
449,VFMO,16534,25733,-9199,VFMO,1
450,VFMV,18821,1294,17527,VFMV,0
451,VFQY,25271,26201,-930,VFQY,3
452,VFVA,16537,2617,13920,VFVA,0
453,VIRS,7496,19283,-11787,VIRS,1
454,VIXM,24343,7497,16846,VIXM,0
455,VIXY,859,7498,-6639,VIXY,1
456,VLUE,16541,16085,456,VLUE,3
457,VMOT,16542,22958,-6416,VMOT,1
458,VNM,16543,30011,-13468,VNM,1
459,VSGX,16544,34348,-17804,VSGX,2
460,VUSB,30013,29533,480,VUSB,3
461,VWID,34833,12912,21921,VWID,0
462,VXX,865,7504,-6639,VXX,1
463,VXZ,24351,7505,16846,VXZ,0
464,WFHY,16548,3509,13039,WFHY,0
465,WFIG,15184,16093,-909,WFIG,3
466,WIL,18836,36770,-17934,WIL,2
467,WLDR,25286,1310,23976,WLDR,0
468,WUGI,19756,20213,-457,WUGI,3
469,XBAP,28580,30502,-1922,XBAP,3
470,XDAP,34842,34359,483,XDAP,3
471,XDAT,15188,15642,-454,XDAT,3
472,XDQQ,31948,34361,-2413,XDQQ,3
473,XDSQ,34845,28103,6742,XDSQ,3
474,XJH,24823,25753,-930,XJH,3
475,XJR,16554,25754,-9200,XJR,1
476,XMPT,15191,31472,-16281,XMPT,2
477,XSHD,8409,1315,7094,XSHD,3
478,XSHQ,7962,1316,6646,XSHQ,3
479,XTAP,33884,35333,-1449,XTAP,3
480,XVV,436,16103,-15667,XVV,2
481,XVZ,16559,14283,2276,XVZ,3
482,YDEC,8413,879,7534,YDEC,3
483,YMAR,33888,28113,5775,YMAR,3
